id,proba
392418,0.51192
392419,0.22213
392420,0.22262
392421,0.10992
392422,0.070421
392423,0.11315
392424,0.6865
392425,0.50371
392426,0.15171
392427,0.050224
392428,0.21637
392429,0.12593
392430,0.23724
392431,0.23047
392432,0.22695
392433,0.68167
392434,0.48508
392435,0.67918
392436,1
392437,0.20501
392438,0.43705
392439,0.46308
392440,0.51198
392441,0.74896
392442,0.43049
392443,0.30141
392444,0.026207
392445,0.97631
392446,0.032069
392447,0.050979
392448,0.3504
392449,0.25966
392450,0.46676
392451,0.41892
392452,0.26448
392453,0.044872
392454,0.25847
392455,0.11477
392456,0.5061
392457,0.1886
392458,0.77725
392459,0.10212
392460,1
392461,0.25006
392462,0.40734
392463,0.05886
392464,0.35827
392465,0.2683
392466,0.28512
392467,1
392468,0.30503
392469,0.35655
392470,0.025875
392471,0.017076
392472,0.43129
392473,0.20917
392474,0.3932
392475,0.17357
392476,0.12425
392477,0.27932
392478,0.62567
392479,0.99751
392480,0.50725
392481,0.29685
392482,0.35681
392483,0.20684
392484,0.14374
392485,0.14127
392486,0.082156
392487,0.2515
392488,0.40475
392489,0.036841
392490,0.52429
392491,0.25571
392492,0.26709
392493,0.17406
392494,0.42642
392495,0.42109
392496,0.043992
392497,0.40048
392498,0.42707
392499,0.18566
392500,1
392501,0.064786
392502,0.25548
392503,0.18669
392504,0.21321
392505,0.21809
392506,0.064553
392507,0.090952
392508,0.99281
392509,0.29827
392510,0.090799
392511,0.061328
392512,1
392513,0.11531
392514,0.031996
392515,0.41001
392516,0.58767
392517,0.32432
392518,0.41901
392519,0.58129
392520,0.18846
392521,0.22833
392522,0.62684
392523,0.073795
392524,0.41811
392525,0.030413
392526,0.22662
392527,0.5397
392528,0.37208
392529,0.37416
392530,0.34509
392531,0.87727
392532,0.34677
392533,0.2494
392534,0.55925
392535,0.19047
392536,0.50085
392537,0.64904
392538,0.11787
392539,0.24397
392540,1
392541,0.037422
392542,0.22268
392543,0.17354
392544,0.22011
392545,0.18296
392546,0.13165
392547,0.69604
392548,0.13927
392549,0.22484
392550,0.70615
392551,0.40757
392552,0.33606
392553,0.1001
392554,0.38806
392555,0.23485
392556,0.29258
392557,0.043347
392558,0.28219
392559,0.038449
392560,0.28307
392561,0.50502
392562,0.25666
392563,0.098461
392564,0.075113
392565,0.60513
392566,0.74529
392567,0.61007
392568,0.68925
392569,0.20772
392570,0.5129
392571,0.69663
392572,0.21049
392573,0.9538
392574,1
392575,0.22624
392576,0.50173
392577,0.31687
392578,0.009866
392579,0.29933
392580,0.25268
392581,0.11449
392582,0.039399
392583,0.1511
392584,0.15779
392585,0.2834
392586,0.23142
392587,0.62858
392588,0.73573
392589,0.64503
392590,0.21196
392591,0.028113
392592,0.40833
392593,0.2815
392594,0.17257
392595,0.30992
392596,0.75607
392597,0.62736
392598,0.24378
392599,0.13513
392600,0.18456
392601,0.17401
392602,0.58352
392603,0.093512
392604,0.42667
392605,0.39855
392606,0.25946
392607,0.58669
392608,0.14183
392609,0.2081
392610,0.46731
392611,0.35501
392612,0.38012
392613,0.8431
392614,0.038243
